Date,Count
24-Aug-16,4
24-Aug-16,1
24-Aug-16,7
24-Aug-16,12
24-Aug-16,71
24-Aug-16,1
24-Aug-16,11
24-Aug-16,20
24-Aug-16,20
24-Aug-16,1
24-Aug-16,3
24-Aug-16,1
24-Aug-16,795
24-Aug-16,25
24-Aug-16,2
24-Aug-16,148
24-Aug-16,24
24-Aug-16,18
24-Aug-16,3
24-Aug-16,59
24-Aug-16,33
24-Aug-16,2
24-Aug-16,1
24-Aug-16,6
24-Aug-16,84
24-Aug-16,9
24-Aug-16,588
24-Aug-16,378
24-Aug-16,4
24-Aug-16,1
24-Aug-16,241
24-Aug-16,40
24-Aug-16,4
24-Aug-16,1
24-Aug-16,5
24-Aug-16,6
24-Aug-16,7
24-Aug-16,1
24-Aug-16,962
24-Aug-16,2
24-Aug-16,49
24-Aug-16,2
24-Aug-16,1
24-Aug-16,312
24-Aug-16,2
24-Aug-16,42
24-Aug-16,7
24-Aug-16,497
24-Aug-16,3
24-Aug-16,1
24-Aug-16,1
24-Aug-16,274
24-Aug-16,16
24-Aug-16,1
24-Aug-16,12
24-Aug-16,9
24-Aug-16,5
24-Aug-16,37
24-Aug-16,33
24-Aug-16,101
24-Aug-16,115
24-Aug-16,79
24-Aug-16,48
24-Aug-16,3
24-Aug-16,19
23-Aug-16,14
23-Aug-16,658
23-Aug-16,9
23-Aug-16,23
23-Aug-16,13
23-Aug-16,45
23-Aug-16,12
23-Aug-16,4
23-Aug-16,6
23-Aug-16,104
23-Aug-16,3
23-Aug-16,48
23-Aug-16,3
23-Aug-16,1066
23-Aug-16,28
23-Aug-16,5
23-Aug-16,1
23-Aug-16,6
23-Aug-16,312
23-Aug-16,23
23-Aug-16,41
23-Aug-16,34
23-Aug-16,7
23-Aug-16,28
23-Aug-16,1
23-Aug-16,194
23-Aug-16,1
23-Aug-16,21
23-Aug-16,37
23-Aug-16,5
23-Aug-16,4
23-Aug-16,1
23-Aug-16,405
23-Aug-16,6
23-Aug-16,11
23-Aug-16,1
23-Aug-16,2
23-Aug-16,4
23-Aug-16,1
23-Aug-16,2
23-Aug-16,319
23-Aug-16,5
23-Aug-16,173
23-Aug-16,2
23-Aug-16,855
23-Aug-16,55
23-Aug-16,3
23-Aug-16,34
23-Aug-16,76
23-Aug-16,84
23-Aug-16,345
23-Aug-16,3368
23-Aug-16,2
23-Aug-16,32
23-Aug-16,99
23-Aug-16,2
23-Aug-16,10
23-Aug-16,24
23-Aug-16,36
23-Aug-16,3
23-Aug-16,83
23-Aug-16,10
23-Aug-16,4
23-Aug-16,1
23-Aug-16,1
23-Aug-16,350
23-Aug-16,13
23-Aug-16,2
23-Aug-16,21
23-Aug-16,1
23-Aug-16,1
23-Aug-16,42
23-Aug-16,1
23-Aug-16,97
23-Aug-16,6
23-Aug-16,2
23-Aug-16,240
23-Aug-16,13
23-Aug-16,17
23-Aug-16,38
23-Aug-16,138
23-Aug-16,1
22-Aug-16,8
22-Aug-16,1
22-Aug-16,27
22-Aug-16,8
22-Aug-16,17
22-Aug-16,1
22-Aug-16,24
22-Aug-16,3
22-Aug-16,202
22-Aug-16,2
22-Aug-16,2
22-Aug-16,1
22-Aug-16,5
22-Aug-16,840
22-Aug-16,2
22-Aug-16,2
22-Aug-16,14
22-Aug-16,1
22-Aug-16,1
22-Aug-16,17
22-Aug-16,1
22-Aug-16,9
22-Aug-16,18
22-Aug-16,10
22-Aug-16,11
22-Aug-16,49
22-Aug-16,3432
22-Aug-16,4
22-Aug-16,2
22-Aug-16,4
22-Aug-16,3
22-Aug-16,2
22-Aug-16,138
22-Aug-16,644
22-Aug-16,5
22-Aug-16,3
22-Aug-16,3
22-Aug-16,73
22-Aug-16,17
22-Aug-16,390
22-Aug-16,21
22-Aug-16,46
22-Aug-16,10
22-Aug-16,6
22-Aug-16,23
22-Aug-16,92
22-Aug-16,81
22-Aug-16,1
22-Aug-16,2
22-Aug-16,1
22-Aug-16,8
22-Aug-16,240
22-Aug-16,66
22-Aug-16,23
22-Aug-16,16
22-Aug-16,276
22-Aug-16,1
22-Aug-16,5
22-Aug-16,4
22-Aug-16,1
22-Aug-16,32
22-Aug-16,136
22-Aug-16,1
22-Aug-16,73
22-Aug-16,1
22-Aug-16,378
22-Aug-16,1131
22-Aug-16,29
22-Aug-16,123
22-Aug-16,2
22-Aug-16,9
22-Aug-16,125
22-Aug-16,5
22-Aug-16,3
22-Aug-16,48
22-Aug-16,52
22-Aug-16,30
22-Aug-16,38
22-Aug-16,9
22-Aug-16,5
22-Aug-16,355
22-Aug-16,3
22-Aug-16,26
22-Aug-16,33
22-Aug-16,117
22-Aug-16,3
22-Aug-16,49
22-Aug-16,6
21-Aug-16,120
21-Aug-16,25
21-Aug-16,2
21-Aug-16,396
21-Aug-16,22
21-Aug-16,1
21-Aug-16,448
21-Aug-16,120
21-Aug-16,1
21-Aug-16,8
21-Aug-16,3
21-Aug-16,1
21-Aug-16,48
21-Aug-16,323
21-Aug-16,1
21-Aug-16,30
21-Aug-16,4
21-Aug-16,9
21-Aug-16,58
21-Aug-16,5
21-Aug-16,9
21-Aug-16,31
21-Aug-16,7
21-Aug-16,88
21-Aug-16,315
21-Aug-16,166
21-Aug-16,4
21-Aug-16,7
21-Aug-16,109
21-Aug-16,910
21-Aug-16,29
21-Aug-16,7
21-Aug-16,5
21-Aug-16,25
21-Aug-16,1
21-Aug-16,3
21-Aug-16,2
21-Aug-16,1
21-Aug-16,43
21-Aug-16,120
21-Aug-16,7
21-Aug-16,1
21-Aug-16,15
21-Aug-16,23
21-Aug-16,1
21-Aug-16,37
21-Aug-16,6
21-Aug-16,20
21-Aug-16,225
21-Aug-16,29
21-Aug-16,3
21-Aug-16,5
21-Aug-16,58
21-Aug-16,36
21-Aug-16,46
21-Aug-16,43
21-Aug-16,12
21-Aug-16,2
21-Aug-16,10
21-Aug-16,2
21-Aug-16,3
21-Aug-16,88
21-Aug-16,3
21-Aug-16,2
21-Aug-16,58
21-Aug-16,3016
21-Aug-16,27
21-Aug-16,3
21-Aug-16,9
21-Aug-16,4
21-Aug-16,1
21-Aug-16,7
21-Aug-16,310
21-Aug-16,9
21-Aug-16,4
21-Aug-16,5
21-Aug-16,1
21-Aug-16,80
21-Aug-16,26
21-Aug-16,720
21-Aug-16,1
21-Aug-16,22
21-Aug-16,13
21-Aug-16,1
20-Aug-16,2
20-Aug-16,24
20-Aug-16,1
20-Aug-16,1
20-Aug-16,1
20-Aug-16,12
20-Aug-16,2
20-Aug-16,84
20-Aug-16,1
20-Aug-16,1
20-Aug-16,1
20-Aug-16,1
20-Aug-16,7
20-Aug-16,3
20-Aug-16,9
20-Aug-16,25
20-Aug-16,140
20-Aug-16,330
20-Aug-16,3632
20-Aug-16,269
20-Aug-16,18
20-Aug-16,423
20-Aug-16,27
20-Aug-16,2
20-Aug-16,12
20-Aug-16,384
20-Aug-16,4
20-Aug-16,205
20-Aug-16,67
20-Aug-16,3
20-Aug-16,10
20-Aug-16,10
20-Aug-16,99
20-Aug-16,39
20-Aug-16,2
20-Aug-16,42
20-Aug-16,2
20-Aug-16,900
20-Aug-16,13
20-Aug-16,49
20-Aug-16,38
20-Aug-16,1
20-Aug-16,53
20-Aug-16,19
20-Aug-16,1
20-Aug-16,5
20-Aug-16,11
20-Aug-16,155
20-Aug-16,12
20-Aug-16,366
20-Aug-16,19
20-Aug-16,3
20-Aug-16,868
20-Aug-16,19
20-Aug-16,22
20-Aug-16,32
20-Aug-16,3
20-Aug-16,136
20-Aug-16,1
20-Aug-16,133
20-Aug-16,1
20-Aug-16,3
20-Aug-16,55
20-Aug-16,5
20-Aug-16,11
20-Aug-16,100
20-Aug-16,4
20-Aug-16,11
20-Aug-16,3
20-Aug-16,1027
20-Aug-16,48
20-Aug-16,26
20-Aug-16,1
20-Aug-16,42
20-Aug-16,9
20-Aug-16,1
20-Aug-16,4
20-Aug-16,1
20-Aug-16,11
20-Aug-16,2
20-Aug-16,4
20-Aug-16,7
20-Aug-16,90
20-Aug-16,5
20-Aug-16,1
20-Aug-16,29
20-Aug-16,8
20-Aug-16,1
19-Aug-16,4
19-Aug-16,19
19-Aug-16,4
19-Aug-16,2
19-Aug-16,1131
19-Aug-16,770
19-Aug-16,10
19-Aug-16,1
19-Aug-16,96
19-Aug-16,1
19-Aug-16,41
19-Aug-16,33
19-Aug-16,12
19-Aug-16,97
19-Aug-16,32
19-Aug-16,1
19-Aug-16,3
19-Aug-16,3
19-Aug-16,32
19-Aug-16,39
19-Aug-16,137
19-Aug-16,378
19-Aug-16,29
19-Aug-16,6
19-Aug-16,2
19-Aug-16,10
19-Aug-16,20
19-Aug-16,1
19-Aug-16,2
19-Aug-16,65
19-Aug-16,1
19-Aug-16,2
19-Aug-16,8
19-Aug-16,4
19-Aug-16,1
19-Aug-16,11
19-Aug-16,7
19-Aug-16,3
19-Aug-16,5
19-Aug-16,2
19-Aug-16,1
19-Aug-16,4
19-Aug-16,37
19-Aug-16,382
19-Aug-16,1
19-Aug-16,6
19-Aug-16,1
19-Aug-16,7
19-Aug-16,8
19-Aug-16,19
19-Aug-16,27
19-Aug-16,49
19-Aug-16,396
19-Aug-16,166
